,type,category,review,star
6,맥북,별점,서비스가 좋습니다. 배송이 빠릅니다. 제품의 품질이 좋숩니다. 제품의 디자인이 좋습니다.,4
7,맥북,별점,약간의 기스?가 있긴 하지만 교환하기는 그래서그냥 쓰려구요! 너무 예뻐요..!걱정 많이 했는데 배송은 이틀만에 왔고 괜찮은것 같아요:-),4
8,맥북,별점,"배송도 빠르고,괜찮습니다",4
9,맥북,별점,주문제작이라서 공장출고가 좀오라네요. 공장출고 판매자 입고후 택배발송은 빨라요 3월30일 주문해서 오늘에야 받앗네요,4
10,맥북,별점,좋습니다. 다른 사이트에선 십만원가량 더 비쌌는데 저렴하게 잘 구매했습니다.배송도 빠리 진행되어서 만족합니다.,4
11,맥북,별점,좋습니다 처음에 가격이 너무 비싸 엘지그램 최신판하고 한참 고민하다가 사게 되었는데 애플로고 본순간 반했습니다... 무튼 애플불들어 오는것도 맘에들고 usb선 있어서 좋네요 많이파세요,4
12,맥북,별점,다른사이트보다 싸고 배송도 빠르고 맘에 듭니다,4
13,맥북,별점,"배송은 3일 걸렸고, 제품은 좋습니다.",4
14,맥북,별점,저렴하게 구매했어요 배송은 정말 빠르네요,4
15,맥북,별점,디자인 화질 짱 터치바 후기가 ㅂㄹ여서 그전신형제품알아보다 샀는데아직 하루밖에안돼서 모르겠지만 잘쓸거가타요 짱짱,4
16,맥북,별점,질문남기면 빨리 답글달아주셔서 좋았구요배송도 주말낀거 생각하면 보통인거같아요좋습니당,4
17,맥북,별점,하루만에 받았는데 판매자님도 친절하시고 배송도 꼼꼼하고 모두다 만족스러워요!!!,4
18,맥북,별점,감사합니다...저럼하게 잘 구매햇습니다...,4
19,맥북,별점,하루만에배송왔습니다 정말 대단해요 감사합니다~!,4
20,맥북,별점,물건은 잘도착했어요싸게산거같긴합니다만배송지연이 두달정도 된거같습니다.,4
21,맥북,별점,상품 수급이 어렵다하시어 배송은 조금 늦어졌지만 그래도 양품으로 잘 도착했고 뽁뽁이 기본으로 포장에 포함되어있네요~! 감사합니다!,4
22,맥북,별점,신학기 기숙사에 들러가는 아이를 위해 준비 했는데 넘 좋아하는 모습에 뿌듯합니다~늦게 받아 볼 뻔 했는데 빠른 배송으로 고맙습니다~,4
