,type,category,review,star
15,아이폰12,별점,뽑기를잘못해서 스크래치가 있어서 수리센터가서 교환했네요 ;;,3
16,아이폰12,별점,네 좋아요 이틀간에 오네요 좋아요,3
17,아이폰12,별점,폰만 달랑 오네요 배송은 빨랐습니다,3
18,아이폰12,별점,"배송은 주문하고 하루만에 와서 좋았어요
하지만 뽑기 실패해서 외관불량으로 서비스센터 가서 교환하고 왔네요..",3
19,아이폰12,별점,빠른 배송에 감사하고 레드 멋집니다,3
20,아이폰12,별점,빠른배송. 좋아요 ㅋ,3
21,아이폰12,별점,좋아요 좋아요 좋아요,3
22,아이폰12,별점,빠른 배송은 아니였지만 만족합니다.,3
23,아이폰12,별점,"잘받았고
잘쓰겠습니다",3
24,아이폰12,별점,기대했던 만큼 좋아요,3
25,아이폰12,별점,음소거버튼불량인거같아서 as받으러가요,3
26,아이폰12,별점,"상품은 잘받았는데 오늘 뜯었는데 뜯자마자 모서리쪽에 작은 찍힘이 있네요 ,,, 교환 되나요 ㅠ",3
27,아이폰12,별점,좋다. 하지만 비싸다. 충전어댑터도 없으면서!,3
28,아이폰12,별점,화이트예쁘고 훌륭합니다,3
29,아이폰12,별점,배송이 느렸지만 만족합니다,3
30,아이폰12,별점,배송이 무척 느렸습니다,3
31,아이폰12,별점,아들선물로 제대하는 다담주 오픈예정요,3
32,아이폰12,별점,"아이튠즈 동기화하다가 무한사과 됨,,",3
1,아이폰12,별점,"금욜늦은저녁에 주문해서 오늘(화요일)에 받았어요! 정말 이 화이트를 주문하기까지 얼마나 노력했는지...ㅠㅠ 거의 핸드폰 켤때마다 화이트 재고있나 네이버페이들어가서 확인했답니다. 그런데 금욜에 퇴근하고 밥먹기전 들어갔는데 똭!!! 있어서 얼마나 두근두근 떨리던지 그리고 바로 네이버결제했지요! 근데 양품아닌게 올까봐 주문하고 나서 걱정이 조금 되었어요 하지만 아직은 잘 모르겠지만 무사히 잘 온것같어요.
6쓰다가 넘어가서 그런지 모르겠지만 조금은 두꺼운 감이 없잖아있었는데 그래도 프로보다 가볍고 디자인이 너무 예뻐요! 그리고 미니보다는 베터리 용량이 커서 주문하게 되었어요
화이트 짱짱! 이제 받은 포인트로 케이스랑 사려고요ㅎㅎ 오래오래 같이 함께하자!",4
2,아이폰12,별점,"아이폰 12로 살까 미니로 살까 계속 고민하느라고 아이폰 12 화이트 재고가 금방 품절되서 고민을 그만하고 12사자 할때마다 화이트가 계속 품절되더라구여 ㅠㅠ 그래서 3일동안 10~11시 정도에 계속 새로고침하다가 10시 30분 정도에 화이트 재고가 풀려서 바로 샀습니다 ㅠㅠ 너무 귀하게 구한 기분이라 더더욱 폰을 기다렸습니다!

그런데 너무너무 아쉬웠던 것은 다른 분들은 배송 1일 정도 걸리셨다는데 저는 3일만에 왔어요 ㅠㅠ 휴대폰을 잃어버려서 새 휴대폰이 빨리 필요했는데 그리고 아이폰이어서 그랬나봐요 ㅋㅋ

그렇게 기다려서 불량 오거나 그럴까봐 걱정했는데 다행히 양품을 잘 왔습니다! 일주일 정도 사용중인데 이전 폰이 작았던 거여서 크기랑 무게가 처음엔 적응이 안되었는데 금방 적응해서 너무나 잘 사용하고 있습니다! 너무

여러분 무조건 화!이!트! 사세요!!
재고는 기다리시면 화이트 풀리는거같아요!!",4
3,아이폰12,별점,아이폰 12미니랑 12랑 엄청 고민하다가 결국 12샀어요! X 쓰던 사람이라 화면이 너무 작아지면 불편할 것 같고 배터리 유지 시간도 더 길어서 선택했습니다. 핸드폰 크기가 조금 커져서 잡기 좀 힘들긴 하지만 무게가 훨씬 가벼워서 좋아요~ 화이트 색상 기다리고 기다리다가 겨우 샀네용 포인트도 많이 주고 해서 여기서 샀습니다! 근데 아이폰12의 고질적인 문제인 것 같은데 타임랩스가 렉먹은 것처럼 끊기긴 하네요..ㅠㅠ 다른 건 다 괜찮은데ㅜㅜㅠ,4
4,아이폰12,별점,살까 말까 고민하다가 재고가 생겼길래 충동 구매해서 좀 후회하고 있었는데 보자마자 너무 예뻐서 좋았어요 진짜 가볍고 불량 아닌 걸로 잘 왔어요 근데 제 케이스가 불량품인 건지 불투명하고 기스도 나 있는 게 왔네요ㅠ 케이스 넘 허접해서 다시 사야할 거 같아요,4
5,아이폰12,별점,배송이 일단 완전 빨라서 굳굳~첨에 품절이라서ㅠ슬퍼하다가 컬러마다 반짝 입고도 되는지 우연히 보다가 그린 색상 있어서 바로 겟했어요ㅎㅎ 총알배송 좋고 포장도 깔끔했어요. 애플케어플러스도 10프로 할인 받아서 괜찮은 구매였다고 생각해여,4
6,아이폰12,별점,"월요일 오전에 주문하고 금요일 저녁에 받았어요. 수요일 저녁 이후 폭설 영향이라고 해도 애초에 발송이 늦은게 문제였어요. 주문한 이후 제대로 올지에 대해 계속 신경이 쓰였네요. 고액 물건인데 배송에 좀 더 신경쓴다면 좋겠어요.
구매하기 힘들었던 제품... 구매할 수 있던 점은 좋았고 품절이다가 중간 중간 재고 풀리면 주문 가능한 것 같네요. 같이 구매한 애플케어는 구매일 다음날, 받기도 전에 시작이 되었네요.",4
7,아이폰12,별점,"배송이 생각보다 빨랐음
배송메시지(사전 연락 후 부재확인시 경비실 보관요청)를 전혀 보시지 않으셨는지 연락없이 그냥 문앞에 놓고 가심.. 주말 간 집을 비워서 휴대폰이 현관 밖에 며칠간 그냥 방치.. 기사님께 연락했으나 그냥 읽씹하셨습니다
물건자체는 매우 만족입니다",4
8,아이폰12,별점,"딱 주문 후 딱2주가 되어서 물품을 받았습니다.
(오매불망 기다렸네요....ㅎㅎㅎ)
워낙 인기가 많고 재고가 부족한 건 이해를 합니다.
상품 배송문의를 하면 잘 답변 해 주셔서 감사드려요
그래도 오늘 제품 받고하니 너무 좋네요
(심장이 벌렁벌렁 했어요ㅋ)
저의 첫 아이폰 뜻 깊게 잘 사용할 것 같습니다.
감사합니다~~~~",4
