,type,category,review,star
5,아이폰12,별점,"배송 빠릅니다 12월 생산품으로 왔구요 주말개통직후 액정보호필름 부착과정에서 코스메틱이슈가 발견되었습니다 월요일에 서비스센터방문후 10월생산품으로 교체받았습니다 예약이 꽉차 현장대기 2시간가까이 소모됐습니다 보호필름소모,백업시간...
서비스센터 고객응대는 만족한다.",3
6,아이폰12,별점,초기화면에서 다음으로 안넘어가서 서비스센타같따와음..아이폰 안좋음.,3
7,아이폰12,별점,"배터리가 넘 빨리닳아여,,,,",3
8,아이폰12,별점,월요일 오전에 주문했는데 금요일에 받았네요 배송이 상당히 느려서 여유있게 주문하시는게 좋을듯 합니다 다행이 물건은 좋은듯 하네요,3
9,아이폰12,별점,포장이 박스만 달랑와서 아쉽네요. 뽁뽁이를 추가로 해주면 좋겠어요.,3
10,아이폰12,별점,불량받아서 서비스센터에서 교환했어요.배송은 빨랐어요,3
11,아이폰12,별점,배송은 빠르고 좋은데 고객대응이 별로에요,3
12,아이폰12,별점,좋에요 역시 애플입니다,3
13,아이폰12,별점,좋아요좋아여좋앙좋여어저하오저여오주,3
14,아이폰12,별점,배송빨랐어요. 감사합니다.,3
15,아이폰12,별점,"배송은 빨랐는데 뜯어보니 안에 뾱뾱이가 상자에 한번 말려있네요
고가의 상품인데 택배하시는 분들이 던질수도 있는데 이건 너무 한거 아닌가요?
충격에 예민할수 있는 기계인데 말이죠",3
16,아이폰12,별점,빨리 왔네여 싼대 비싸여 하하,3
17,아이폰12,별점,"디자인은 맘에들고 사용시 살짝 딸어트렸는데
잘깨지네여",3
18,아이폰12,별점,생각보다 늦게 도착해서 사전 예약 의미는 떨어진거 같아 별은 뺏습니다. 제품은 하자없고 이쁘네요 ㅠㅠ,3
19,아이폰12,별점,다음번엔 무조건 갓팡 그래도 상품은 양품이라 천만다행,3
20,아이폰12,별점,아이폰이야 항상 좋죠,3
21,아이폰12,별점,잘 받았습니다 이상없길 바래요,3
22,아이폰12,별점,이뽀요 ㅎㅎ좋어요 근데 새거라 어색해요 ㅎㅎㅎ헤,3
23,아이폰12,별점,시켰는데 번인현상 있는 불량제품 받아서 오프라인 공인수리점에서 새제품으로 교환받았네용 ㅜ,3
1,아이폰12,별점,"배송: 화요일 오전에 시켜서 다음주 월요일에 받았습니다.
인천->김포->이천->군포->분당(도착)
무슨 국내투어하는 줄 알았습니다.
전자기계인데도 왜 이렇게 돌아서 오는건지는 모르겠으나 ..넉넉히 일주일 정도 각오하고 사시면 좋을 것 같습니다.(2일 온다는 후기가 많던데..의아하네요.)

상태: . 카메라나 액정사이 먼지 한 톨 없습니다.
간혹 지문 자국이 있는 폰이 왔다는 후기가 있으니 잘 확인하시고 사세요.
액정 색보정도 필수

골드: 뒷면은 실버같으면서도 옆 면은 확연한 골드
실버와 골드 두가지
+
아이폰12구매하였습니다.

팁: 10시~12시/5시~6시 사이에 물건이 들어오며, 일주일동안 존버해 본 결과 오전 11시 쯤이 가장 잘 들어옵니다. (저도 이때 샀구요)

퍼시픽 블루 재고가 가장 잘 들어옵니다.
약 일주일 반 동안 퍼시픽블루 재고는 3번, 실버2번, 그래파이트2번 들어오는 걸 확인했습니다.
저는 골드를 사고 싶었는데 항상 다른 색만 있고 골드는 재고가 없더라구요 ㅠㅠ

최종적으로 골드를 구매하였고, .
하지만 배송을 기다리는데 너무 힘들었기에 별 하나 뺍니다.",4
2,아이폰12,별점,"음량 버튼 누르는 곳에 스크래치 있는게 너무 신경쓰여서 서비스센터 가서 코스메틱 이슈로 교환 받으려 했더니 이곳에서 애플케어 플러스 신청해서 제품 받은 것 때문에 제품 출발때부터 +1일씩 자동 계산돼서 교환기간 끝났다고 못해준다고 해서 쉬는 날 짜증 한 가득 안고 집에 왔네요.. 정신승리하고 케이스 끼고 쓰다보니 안보여서 상관없는데 그날만 생각하면 아 여기서 괜히 샀다.. 했네요 진짜.. 이것저것 거슬리시는 분들은 안정적으로 공홈에서 사세요. 저는 여기서 포인트랑 이것저것 할인 받은 거 생각하면 그거 값이다 생각하고 지금은 또 잘 쓰고 있습니다.
실버 테두리 지문 엄청 묻고 먼지 닿아도 잔스크래치 생긴다니까 실버 사실 분들은 참고하세요~~ 그리고 택배는 진짜 그냥 일반물품 오듯이 옵니다ㄷㄷ",4
3,아이폰12,별점,"배송느려요 ㅠㅠ
후기 보니깐 다들 빨리 받았다고 하는데...
화요일에 주문하고 토요일에 받았어요.
기다리느라 숨넘어가는줄 ;; ㅠㅠ
다행히 제품하자는 없어요. 마감 불량도 없고 좋아요~ 액정 화면이.. 노란빛 그 흔히 말하는 오줌액정이라 톤 설정 바꿔주니 괜찮아졌어요.
~^^",4
4,아이폰12,별점,"실버와 퍼시픽블루에서 갈등중이였는데
실버로 맘먹으면 품절ㅎㅎㅎ
퍼시픽블루로 맘먹으면 실버재고 들어와서
고르기 힘들었는데 결국 막판엔 퍼시픽블루로 구매!!!
색상 너무 예뻐요🥺
다만 기기 후면 상단 부분에 흠집이...당첨됐어요..
ㅎㅋㅋ..(혹여 문제있을까봐 언박싱하면서 영상찍었는데 ㅜㅜ너무나 절망적이였던ㅋㅋㅋ)
봐
맴이아프지만 그냥 쓰고 있어요
케이스끼니까 안보이긴해요..하하
다른 부분은 멀쩡하니 좋은 선택이였다고 위로하며..
후기를 마칩니다🥲",4
5,아이폰12,별점,배송도 이틀 뒤에 바로 오고 양품인거 같았으나 처음 아이폰을 껏다가 키면 애플 로고가 켜졌다가 금방 사라지네요. 이거는 뭐 이용에 큰 문제가 없어서 지장은 없지만 사용 후 일주일 뒤에 갑자기 핸드폰이 멈추면서 재부팅이 됐네요(Panic-base) 아직 한번 밖에 되질 않아서 좀 지켜봐야 할거 같아요. 그것만 빼면 아주 빠릿빠릿하고 이쁜 핸드폰입니다! 다른 사이트와 비교해보면 자급제로 구매하는것이 이곳에서 사는게 가장 저렴하게 살 수 있는 곳이네요!,4
6,아이폰12,별점,"아이폰만한 기능이 없기에
쭉 아이폰만 고집했습니다!
처음 아이폰 5를 5년정도 쓰고 아이폰7을 4년 반 써보았지만 각양각색입니나
모델마다 장단점이있기에 각자에 판단ㅇㅔ 맡기죠
전 작고 가벼운것만 쓰다가 이번에 12pro 쓰니 다른건 그렇고 좀 무겁네여☺️☺️
그래도 카메라에 만족합니다",4
7,아이폰12,별점,"뭔가 믿을만할 제품을 구매해야할땐
네이버쇼핑을 선택하는 이유는 ‘확실’해서인것같다.
(제품,배송)
남편의 “알아봐” 병 을 극복하고
인터넷으로 아이폰 제품을
정품매장(윌리스)과 같은가격을 주고
네이버 쇼핑으로 구매꾹.
누군가로선 이해못할수도 있다.
만약 - 제품에 문제가있는 제품이라면?
그런 고민을 한다면 그냥 매장으로 가시고 ..
무튼, 네이버쇼핑으로 주문하고 주문시 보여지는
‘도착예상일80%’ 날짜에 100%로 받았다.
언박싱을 하고
전혀 하자가 없는 제품. 아이폰 10년 유저로서
만족스러운 결과물을 받고 이렇게 후기를 남긴다.",4
8,아이폰12,별점,포장이 너무 허접해서 운송도장 물건을 던질텐데 제품이 망가지지 않을까하는 리뷰가 있었는데....저말 포장이 너무 허접합니다...ㅜㅜ140백원 전자제품을 딸랑 뽁뽁이 한번만 감싸다니... 이렇게 포장해도 되는거가요..? 선울하기로 보냈는데 받아본 사람이 포장이 너무 허잡해서 경악을 금치 못했어요 작동은 되지만 금방 고장날까 걱정 됩니다,4
9,아이폰12,별점,다른건 다 후기랑 같아요.. 실버살라고 한달기다렸다가 저번주 금요일날 떠서 구매했구요.. 네이버 공홈에서 사서 적립받아서 좋고.. 다 좋은데 대한통운 진짜 완전 빡쳐요.. 저번주 금욜날 주문해서 목요일받았음 다른분들은 다 빨리 받았다고 했는데 조금 지쳤어유.. 그래도 받고 셋팅 딱 하니까 넘나 좋네유ㅎㅎㅎ 양품으로 잘 받았습니다,4
10,아이폰12,별점,"실버 사고 싶었는데 빨리 바꾸고싶어서 재고 남아있는 퍼시픽블루로 구매했어요
실물 못보고 구매한건데 퍼시픽블루도 색예뻐서 맘에들어요
1월에는 재고가 계속 몇개씩밖에 없어서 구매하기 힘들었는데 이제 물량이 풀린것 같네요",4
11,아이폰12,별점,"빠른배송과 네이버페이 포인트도 많이 받고
네이버 애플스토어에서 구매하기 잘했다 생각했어요!
존버해서 그래파이트 드디어 획득@
그래파이트 재고 계속 놓쳐서 두달 기다렸어요,,
근데 리브엠 모바일 유심이 배송이 안와서
고객센터 계속 전화하고 직접 받으러가고 고생했습니다....ㅜ",4
12,아이폰12,별점,우체국 택배로 바꿔주세요. 고가제품인데 대한통운에서 뱅뱅 돌려서 제 손에 떨어질때까지 일주일 걸렸습니다. 게다가 직접받고싶다고 문앞에 두지 말라고 남겼는데 현관문앞에 던지듯이 놓고 가버리고.. 누가 150짜리를 그리 짐짝 취급합니까?? 배송비에서 얼마나 아끼려고 그러시는지 모르겠지만 원성이 이리 자자한데 택배사 변경은 재고할만하지 않나요??,4
13,아이폰12,별점,"배송 때문에 애간장 녹이다가 크리스마스 선물처럼 다행히도 뙇 하고 나타났네요
예뻐요",4
14,아이폰12,별점,문제없이 잘쓰고있습니다 쓰면쓸수록 디자인이 맘에들어요,4
15,아이폰12,별점,"카메라 렌즈 안에 먼지가 있었어요.....
개인 시간 내서 한시간 거리에 있는 수리점 갓다왓네요....불량으로 확인되어 결국 새제품으로 바로 바꿔주셧습니다. 이 사이트에선 반품만 되지 교체는 안되더라구요",4
16,아이폰12,별점,"배송 빠르고 색 너무 이뻐용
근데 업데이트가 안되어 와서 그게 좀 아쉬워요",4
17,아이폰12,별점,"제품 잘받았습니다~
삼성만 쓰다가 아이폰으로 처음 써봐서 아직 적응중이라 조금 불편한것빼고는..
디자인도 이쁘고 아직까지는 좋습니다~",4
18,아이폰12,별점,"좋습니다.
배송 3일 걸렸고, 기계 문제 없네요.^^",4
19,아이폰12,별점,핸드폰이 깨져서 매장 알아보다가 다 품절... 기약 없대서 생각없이 들아와봣는데 잇네요 ㅋㅋㅋ 색상을 퍼시픽 밖에 없엇지만 뭔 의미 잇나요...ㅋㅋㅋ 사진도 잘 나오고 좋네요 ㅋㅋㅋ,4
20,아이폰12,별점,폰 예쁘고 좋아요. 실버를 구하고 싶었는데 운좋게 구입할 수 있었어요. 하지만 배송이 심하게 오래 걸려서 일주일은 기다린거 같아요.ㅠㅠ,4
21,아이폰12,별점,롯데는 요즘 같은 시기에 배송속도에 대해 신경좀 쓰셔야 할 듯 합니다.쿠팡이나 컬리하고는 2일. 심지어 오픈마켓 보다도 느리네요.,4
22,아이폰12,별점,"oh 너무좋음 oh
첨엔 화면이 좀 작나 했는데 딱 좋다",4
23,아이폰12,별점,"잘받았어요 생각보다 하루 더 걸렸지만...
근데 화면이 좀 노란거같아서 오줌액정이 걱정됩니다 ㅠㅠ",4
24,아이폰12,별점,배송도 그렇고 그냥저냥 그렇네요...,4
25,아이폰12,별점,배송 엄~~~청 느려요! 이렇게 늦게 받아본거는 처음이네요!,4
26,아이폰12,별점,"잘받았습니다.
고장없이 오래 쓸수있기를…",4
27,아이폰12,별점,지금은 물량이 풀렸는지 구매한지 하루만에 오네요. 이쁩니다.,4
28,아이폰12,별점,생각보다 빨리 받아서 넘 좋네요.,4
29,아이폰12,별점,실버색 넘 예쁘고 좋아요!,4
30,아이폰12,별점,불량 없이 괜찮습니다,4
31,아이폰12,별점,오줌액정 당첨됐지만 그거빼곤 이상 없네요 색상 조정해서 그냥 쓰려고합니다 그래파이트 색깔 정말 잘뽑았네요 배송 엄청 빨리 왔어요,4
32,아이폰12,별점,박스 안에 잘 고정이 되있었으면 좋았겠지만 그래도 뽁뽁이로 잘 감겨있었어요. 폰은 양품으로 받은거 같습니다 아직까지는요ㅎㅎ,4
33,아이폰12,별점,배송은 조금 걸렸지만 사용해보니깐 너무 좋아요^^오랫동안 핸드폰 사용해도 배터리가 길어서 좋음ㅋㅋ,4
34,아이폰12,별점,잘 쓰고 있어요.가격도 카드 할인 받아 만족하고요.자급제가 편한거 같아요.,4
35,아이폰12,별점,와~~~ 사진 화질 어쩔..다양한 기능이 더 생겼네요..,4
36,아이폰12,별점,"아이폰은 처음인데 무겁고..무겁네요
양품인지 구별할줄도몰라 그냥써요 ㅎㅎ",4
37,아이폰12,별점,실버가 화이트 같네요~,4
38,아이폰12,별점,"퍼블 색은 정말 예쁘고 배송과 응대는 빵점 이네요
7 쓰다 갈아 타서 그런지 확실히 너무 너무 좋습니다 프로도 생각보다 안크네요 그리고 그립감도 좋아요",4
39,아이폰12,별점,"빠른 배송에 감사합니다
많이 파세요..",4
40,아이폰12,별점,좋아요 배송도 빠르고 좋았어요 색도 넘 이쁘네요,4
41,아이폰12,별점,예쁘네요. 아직 아이폰에 익숙하지 않아 불편한 점도 꽤 많은데 디자인 이쁘고 카메라 성능 또한 좋아요. 다만 문자 수신이 처음에 제대로 안되어 좀 당황스러웠습니다.,4
42,아이폰12,별점,실버 넘 이쁘고 좋네요~,4
43,아이폰12,별점,제조일이 2월이네요 ㅎㅎ 양품이고 좋아요~배송은 오래 걸렸어요 ㅠ,4
44,아이폰12,별점,"원하던 색상으로 구매해서 너무 좋아요
배송도 빨랏고
너무 이뻐요",4
45,아이폰12,별점,"빠른 배송으로 받아봤어요.
홈버튼에 익숙했던 터라 지문인식 안되는 것 등 불편하게 느껴지는 점도 있지만 슬슬 적응 중입니다.",4
46,아이폰12,별점,"하 아이폰 이번에 처음사용하는데ㅠㅠ
ㄷ갤럭시에서 아이폰 ios 프로그램 에러나서지 데이터 옮기느라 이틀내내 센터 다녀오고 난리였네요 휴...제품은 좋아요",4
47,아이폰12,별점,좋아요! 배송도빠르고요!실버하고싶엇는데 ㅠ 골드햇지만만족해요!,4
48,아이폰12,별점,뽁뽁이로만 감싸져서 와서 좀 불안했어요,4
49,아이폰12,별점,화면에서랑 똑같고 배송 진짜 빠릅니당,4
50,아이폰12,별점,"아이폰 존버해서 삿고. 포인트까지 받아 좋앗는데 갤럭시 쓰다 아이폰 쓰니 확실히 음질 통화품질 진짜 안좋네요 그래도 어찌겟어요 ,,,,암튼 배송 빠르고 좋은데 흠집이 잇네여 반품하기 귀찮아 그냥 씁니다",4
51,아이폰12,별점,배송이 아주 빠르진 않았지만 현재까지 사용한 바로는 제품에 이상이 없는 좋은 물건 받아 아주 만족합니다.,4
52,아이폰12,별점,배송 good 골드 ㅇㅖ쁘네요,4
53,아이폰12,별점,색상이 너무 예뻐요 근데 열었을때 지문이 좀 있었는데 새제품 맞겠죠...?,4
54,아이폰12,별점,처음에 오줌액정 같아서걱정했는데 블로그보고 찾아보고 설정하니 괜찮아졌네요 만족해요,4
55,아이폰12,별점,한달넘게 사용중인데 이상 없고 좋습니다,4
56,아이폰12,별점,캐이스끼우니 컬러는 보이지 않...,4
57,아이폰12,별점,유튜브보고 테스트는 아직 안해봤는데 제품에는 문제없이 잘왔어요!,4
58,아이폰12,별점,쓸만합니다 역시 아이폰,4
59,아이폰12,별점,크리스마스에 연말이라 배송은 오래 걸렸지만 여튼 무사히 수령 완료~,4
60,아이폰12,별점,주문한지 이틀만에 도착했고 제품하자없이 아주만족합니다,4
61,아이폰12,별점,"빠른배송 좋구요
자급제폰이라 기존 유심으로 잘 됩니다",4
62,아이폰12,별점,"배송은 만족 아이폰도 대체로 만족
뒷판에 작은 스크래치가있는ㄷ 그냥 쓰려구요..",4
63,아이폰12,별점,안전하게 잘받았습니다,4
64,아이폰12,별점,배송이 좀 걸렸어요,4
65,아이폰12,별점,화면이 누리끼리한 느낌인데 양품이라 다행이라 생각합니다!,4
66,아이폰12,별점,실버 입고되길 기다리다 구매했어요. 구매 다음날 왔고 물건은 좋아요. 근데 결국은 어댑터를 구매했네요. 갖고있던 6s 어댑터랑 12프로에 동봉된 케이블이 안맞아서ㅜㅜ 참고하세요,4
67,아이폰12,별점,결제 후 배송까지 엄청 빠르네요~ 잘쓸게요,4
68,아이폰12,별점,제값에 사서 조금 아깝긴하지만 원하는색상 바로 구입할수있어서 좋아요 카메라는역시12pro,4
69,아이폰12,별점,배송도 빠르고 불량 하나 없어요 ㅎㅎ,4
70,아이폰12,별점,애플신형이니 제품은 말할것도 없고 배송응대 친절하셨으나 그흔한 액정보호필름 하나 없어서 좀 아쉬웠어요. 맨몸인채로 신주단지 모시듯 며칠 버텨냈네요.,4
71,아이폰12,별점,"전에 쓰던 아이폰과 별 차이는 없지만,, 새거라서 기분좋음~",4
72,아이폰12,별점,누런액정 사용자가 직접 조절하는 불편함 슬립모드 들어갔다 나오면 어두워지는 불편함 외엔 그럭저럭 쓸만해요,4
73,아이폰12,별점,늘쓰던 애플 ~~ 계속 써야죠,4
74,아이폰12,별점,다 좋은데 택배상자에 조심해달라는 문구가 없어서 아쉬워요 비싼 전자기기에 비해 포장이 부실해서 아쉽 하지만 잘 쓰고 있어요,4
75,아이폰12,별점,"수요일에 주문해서 금요일에 받았어요 배송 짱 빨라용ㅎㅎㅎ 가격이 사악하지만,,, 너무 예쁩니다 다행히 하자없는 제품으로 잘 왔네요~",4
76,아이폰12,별점,"재고 잠깐 풀려서 주문했는데, 빠르게 배송해주셨습니다. 아이폰12프로 특성 상 화면이 좀 누런것 만 빼면 우선 맘에 듭니다...",4
77,아이폰12,별점,"예상보다 몇일 일찍받아서 좋았어요
할인받아 구매해서 만족스럽고
역시 그파가 젤 이쁘네요~ :)",4
78,아이폰12,별점,잘 받았습니다 옆에껀 7플러스예요,4
79,아이폰12,별점,잘 받았습니다 케이스 씌운거예요,4
80,아이폰12,별점,아이폰에서 아이폰 연동해서 쓰는거라 크게 생활하는데 지장이 없고 불편함이 적어요,4
81,아이폰12,별점,"꼭 사용하고 싶어 구매했는데
만족스럽네요.",4
82,아이폰12,별점,뭐 딱히 나쁜점은 없네요.,4
83,아이폰12,별점,잘받았어요 만족해요,4
84,아이폰12,별점,"너무 이쁘고 불량없이 잘쓰고있눈데
정품실리콘케이스에도 모서리 부분 긁히듯이 양쪽에 벗겨져 암울해요",4
85,아이폰12,별점,좋습니다 잘쓸께요.,4
86,아이폰12,별점,배송이 엄청 빨라서 좋았으나 코스메틱이슈 있는 상품이 와서 교체진행했어요~,4
87,아이폰12,별점,"잘 받았습니다
다행히 양품인것 같아요 ^_^
받자마자 바로 바꾸느라 지금 새폰으로 작성하여
신품사진은 상자밖에 없습니다 ^_^",4
88,아이폰12,별점,배송도 빠르고 포장도 뽁뽁이에 싸서 안전하게 왔어요!,4
89,아이폰12,별점,"26일 주문하고 오늘 받았네요.
이제 슬슬 써봐야죠",4
90,아이폰12,별점,너무 늦게 받았지만.. 좋습니다!,4
91,아이폰12,별점,배송 빠르게 잘 받았습니다.,4
92,아이폰12,별점,좀힘들지만 노력해야,4
93,아이폰12,별점,생각보다 배송이 빨라서 좋았어요. 외부에 미세한 찍힘 하나가 있긴 했는데 그냥 쓰려구용. 잘 받았습니다!,4
94,아이폰12,별점,배송은 조금느렸어요 ㅠ,4
95,아이폰12,별점,잘받았습니다 잘쓸께요,4
96,아이폰12,별점,"화면이 너무 노래서 처음에 불량인가 깜짝 놀랐네요 ㅎㅎ근데 12프로가 다 그런가봐요..
빠른 배송 감사합니다",4
97,아이폰12,별점,작년 12월 말부터 재고있는지 수시로 들락날락 하다가 드디어 제가 원하는 색상으로 샀어요^^,4
98,아이폰12,별점,"2개주문해서 빨리 사용하려고 했는데,배성이 엄청느리고,대응도 느렸습니다..2주걸렸네요..비춥니다",4
99,아이폰12,별점,배송도빠르고 포장도꼼꼼하네요,4
100,아이폰12,별점,배송이 빨라서 좋았네요,4
101,아이폰12,별점,"7 쓰다가 바꿨는데, 좋네요 특히 카메라!ㅎㅎ배송도 빠르고! 주문한 케이스가 배송지연으로 케이스 없이 쓰려니 불안불안 할 뿐...",4
102,아이폰12,별점,배송이 느린것빼고는 상품은 잘 받았습니다 근데 배송이 느리더라도 그래파이트색상 갖고싶었으니 후회없어요,4
103,아이폰12,별점,"배송이 빨랐습니다.
고가의 전자제품에.비해 뽁뽁이가 한겹만 있어 조금 불안하네요.",4
104,아이폰12,별점,역시 아이폰 이뻐요,4
105,아이폰12,별점,가끔 멍 때릴때가 있긴한데 재부팅 하고 나면 괜찮아져요 그래도 그럴때면 간이 철렁! 한답니다 ㅠㅠ,4
106,아이폰12,별점,구매 물품 일정 늦어지지 않고 잘 받았네요,4
107,아이폰12,별점,5G 3GHz 모뎀칩이 없어서 지원이 안됨.,4
108,아이폰12,별점,배송이 느린점말곤 좋았습니다,4
109,아이폰12,별점,배송이 빨라요. 너무 예뻐요.,4
110,아이폰12,별점,좋은가격에잘샀습니다.,4
111,아이폰12,별점,"쬐끔 아쉬운 배송이지만, 핸드폰은 매우 만족합니다
불량없이 좋네요",4
112,아이폰12,별점,배송은 좀 걸렸는데 물건은 만족합니다. 애플사이트보다는 비싸요.,4
113,아이폰12,별점,배송 빠르고 좋았어요.,4
114,아이폰12,별점,"예상보다 몇일 일찍받아서 좋았어요
역시 그파가 젤 이쁘네요~ :)
할인받고 구매해서 만족스러워요",4
115,아이폰12,별점,잘받았어요 감사합니다,4
116,아이폰12,별점,아이폰은 아이폰입니다,4
117,아이폰12,별점,잘사용하고있습니다 불량없고 좋아요,4
118,아이폰12,별점,다 좋은데...가격이~~~,4
119,아이폰12,별점,외관은 양품이나 아직 화면 테스트는 못해봤네요 어렵게 받아서 기분은 좋아요,4
