,0,1,2,3
56,[최종41만원대] 삼성 노트북 NT350XCR-AD3AW 갤럭시북 가성비노트북 인강용노트북 사무용노트북 슬림노트북,549000,등록일 2020.12.,815
57,삼성전자 갤럭시북 S NT767XCM-K38 WIFI 초경량 950g 인강용 노트북,798000,등록일 2020.08.,807
58,삼성전자 갤럭시북 S NT767XCM-K38 WIFI 초경량 950g 인강용 노트북,798000,등록일 2020.08.,807
59,삼성전자 갤럭시북 이온2 NT950XDZ-A38AW 초경량 대학생노트북,1199000,등록일 2020.12.,797
60,삼성전자 갤럭시북 프로 NT935XDB-K58AB,1585300,등록일 2021.05.,788
61,139만+마우스/삼성 갤럭시북 프로 NT935XDB-K58AB LTE,1599000,등록일 2021.05.,766
62,노트북렌탈 갤럭시북 삼성전자 대여 48개월의무 등록설치비면제 본사관리,48000,등록일 2021.07.,750
63,삼성전자 갤럭시북 플렉스 알파 NT750QCR-A78A,1608870,등록일 2020.06.,718
64,삼성전자 갤럭시북 플렉스 알파 NT730QCR-A516A,1185940,등록일 2020.06.,694
65,삼성전자 갤럭시북 프로 NT950XDC-X71A 1TB 가벼운 포토샵 게이밍 최신 노트북,2179000,등록일 2020.12.,692
66,삼성전자 갤럭시북 프로 NT950XDC-X71A 1TB 가벼운 포토샵 게이밍 최신 노트북,2179000,등록일 2020.12.,692
67,갤럭시북 이온2 NT950XDZ-A58AW /대학생노트북/인강용/재택근무/업무용/가성비/노트북,1499000,등록일 2020.12.,681
68,파격가 삼성 갤럭시북 플렉스 NT950QCG-X716A 대학생추천 온라인,2198940,등록일 2019.12.,676
69,[특가 170만] 삼성 갤럭시북 프로 NT935XDB-K71AB LTE,1899000,등록일 2021.05.,660
70,삼성 갤럭시북 프로360 NT950QDY-A51A 1TB 노트북,2069000,등록일 2021.02.,654
71,[2021 신제품!] 삼성 갤럭시북 프로 NT950XDC-X71A SSD1TB (i7-1165G7/16G/1TB/MX450/Win10Home),2799000,등록일 2019.12.,651
72,삼성전자 갤럭시북 이온 NT950XCJ-K78A,1759000,등록일 2019.12.,641
73,삼성전자 갤럭시북 프로360 NT930QDB-K71A,2089000,등록일 2021.04.,622
74,삼성전자 갤럭시북 플렉스2 NT950QDA-X71AZ 대학생 사무용 게임용 태블릿 노트북 예술품에 가까운 비주얼,1997000,등록일 2020.12.,614
75,[당일퀵발송] 삼성전자 갤럭시북 플렉스2 NT950QDA-X71AZ 대학생 사무용 게임용 태블릿 노트북,1997000,등록일 2020.12.,614
76,[혜택 160만] 삼성전자 갤럭시북 프로 NT930XDB-K71A,1799000,등록일 2021.05.,605
77,[최종 151만] 갤럭시북 프로360 NT930QDY-A51A 노트북,1699000,등록일 2021.05.,597
78,[2021 신제품!] 삼성 삼성 갤럭시북 프로 NT930XDY-A51A (i5-1135G7/16G/512G/FD/AMOLED/13.3형),1699000,등록일 2019.12.,585
79,갤럭시북 플렉스 NT950QCT-A58A,2126590,등록일 2019.12.,583
80,삼성전자 갤럭시북 프로 NT950XDB-K71A,1829000,등록일 2021.04.,579
81,삼성전자 갤럭시북 이온 NT950XCR-A38A /한컴오피스/15.6인치 대학생추천,1702120,등록일 2019.12.,564
82,[최종 1413만] 삼성전자 갤럭시북 프로360 2in1 13인치 대학생 게임용 인강용 태블릿 노트북,1698000,등록일 2020.12.,546
83,[최종 143만] 삼성전자 갤럭시북 프로360 대학생 인강용 사무용 터치 태블릿 13인치 가벼운 노트북,1698000,등록일 2020.12.,546
84,삼성 갤럭시북 이온2 NT950XDZ-A38AW 가벼운 가성비 노트북 인강용 사무용 노트북,1089000,등록일 2020.12.,537
85,갤럭시북 프로 NT950XDX-G51A /대학생노트북/인강용/재택근무/업무용/가성비/노트북,1629000,등록일 2020.12.,534
86,삼성전자 갤럭시북 이온2 NT930XDZ-A38AW,1098990,등록일 2020.12.,491
87,삼성전자 갤럭시북 NT750XDZ-A71A,1298000,등록일 2021.05.,490
88,삼성전자 갤럭시북 이온2 NT950XDA-K78AW,1540000,등록일 2020.12.,479
89,삼성전자 갤럭시북 이온 NT930XCJ-K716A,1749000,등록일 2019.12.,471
90,삼성전자 갤럭시북 프로 NT950XDY-A38A,1199000,등록일 2021.04.,469
91,"당일무료퀵, 4종기프트 삼성 갤럭시북 플렉스 NT950QCG-X716A",2098000,등록일 2019.12.,468
92,삼성전자 갤럭시북 프로 NT950XDC-X71A,1998000,등록일 2021.04.,465
93,삼성전자 갤럭시북 NT750XDZ-A51A 가성비 사무용 인강용 경량 노트북/ 16GB SSD256 무게1.55kg 가볍다,997000,등록일 2021.04.,458
94,삼성전자 갤럭시북 NT750XDZ-A51A 가성비 사무용 인강용 경량 노트북/ 16GB SSD256 무게1.55kg 가볍다,997000,등록일 2021.04.,458
95,삼성 갤럭시북 프로360 NT950QDY-A51A 512GB 사무용 노트북,1948280,등록일 2021.02.,450
96,갤럭시북 프로360 NT950QDY-A51A 512GB 사무용 노트북,1969000,등록일 2020.12.,450
97,삼성전자 갤럭시북 플렉스 NT930QCT-A38A 13인치 QLED 윈도우UBS 지원,1199000,등록일 2019.12.,443
98,삼성전자 갤럭시북 플렉스 NT930QCT-A38A 13인치 QLED 윈도우UBS 지원,1199000,등록일 2019.12.,443
99,삼성전자 갤럭시북 플렉스2 NT930QDA-K71AZ,1748000,등록일 2020.12.,436
100,갤럭시북 프로 i5 13인치 휴대용 11세대 슬림노트북,2325000,등록일 2021.06.,434
101,삼성 갤럭시북 S NT767XCL-KLTE 특가:92만 리뷰사은품,1099000,등록일 2020.06.,433
102,삼성전자 갤럭시북 S NT767XCL-KLTE 특가:92만 리뷰사은품,1099000,등록일 2020.06.,429
103,삼성전자 갤럭시북 프로 NT930XDY-A51A 512GB 13인치 가벼운 대학생 노트북,1499000,등록일 2020.12.,412
104,삼성전자 갤럭시북 프로 NT930XDY-A51A 512GB 13인치 가벼운 대학생 노트북,1499000,등록일 2020.12.,412
105,[156만+마우스] 삼성 갤럭시북 프로360 NT950QDY-A51A,1799000,등록일 2021.05.,412
106,삼성전자 갤럭시북 플렉스 NT930QCG-K716A,1990910,등록일 2019.12.,409
107,[혜택 188만] 삼성 갤럭시북 프로360 NT930QDB-K71A,2099000,등록일 2021.05.,397
