,type,review,star
11,아이패드,첨부터 포토상품평 쓰게 되어있음 되지 굳이 나눠서?여하간 좋아요 안에 흰색 부분 사이즈는 일반 책보다 큰 거 같고요크레마카르타도 같이 쓰고 있는데 아무래도 책 리뷰나 읽다 검색 같은 거 하기엔 아이패드가 좋네요 어차피 2시간 3시간 연속해서 책 읽는 것도 아니고그런데 아무래도 화면이 커서 왓챠나 그런 스트리밍 영상들 화질이 좀 떨어진다는 느낌? PC에서 fhd볼 때보다 더 구린 느낌 ㅠㅠ 그점은 아쉽습니다 ,5
12,아이패드,"지금까지 이런 만족감은 없었다.완벽한 상품 동봉. 번개보다 빠른 배송.애플코리아 정품이라 충전기 바로 사용및 혹시모를 초품 불량에 대한 교환걱정도 없었지만, 확인해보니  받은 상품 역시 유격하나 없이 깰꼼.넷플릭스 HD모드 켜서 보는중인데 화질 리얼 크레이지.비슷한 가격의 갤탭A가 넷플릭스 고화질이 안된다고 해서 아이패드 6세대 선택했는데, 가격 그 이상의 만족입니다.",5
13,아이패드,리뷰 이곳저곳 뒤지고 뭐 펜 반응속도가 어쩌고 저쩌고해서걱정 많이했는데 제가 아이패드 프로를 사용중이라 둘이 비교해봤는데차이 거의 없습니다..(체감불가입니다)이정도 가격에 이정도 퍼포먼스라면 정말 좋은것 같습니다.선물받은 친구도 엄청 좋아했습니다.프로와 6세대 사이에서 고민하신다면 구지 프로 갈 필요없이 6세대 사용하시는거 추천합니다.,5
14,아이패드,"아이패드 구매하길 결정하고 어디서 살지 알아보는데, 저는 안전하게 보내주는 곳에서 구매하고 싶었습니다. 다른 곳들 후기들 보면 완충재도 제대로 안넣어주고 제품 상자 찌그러져 왔다는 경우도 있길래.. 그런데 여기는 유명한 판매 업체이기도 하고, 후기들 보면 배송 상태도 좋은 것 같아 조금 더 싸게 구매할 수 있었지만 여기서 구매하게 되었습니다. 진짜ㅏ 안전하게 포장해주셔?Cㅋㅋㅋㅋㅋ 너무 좋았습니다ㅎㅎㅎ?s?s이로 엄청나게 칭칭 감아주셨더라고요. 여기서 사길 잘한 듯 싶습니다... 아직 제품 상태를 자세히 살피진 않아 모르겠지만 일단은 양품이 온 것 같아 기분이 좋네요. ㅎㅎ  제품 자체는 말 할 것도 없이 좋습니다. 단, 확실히 lcd패널과 강화유리 사이 갭이 느껴집니다ㅋㅋㅋㅋ 전 스그 골드 고민하다가 골드 구매했는데, 이거 신경쓰이시는 분은 스그 구매하시면 별로 티 안날 듯 합니다. 사실 저도 신경 많이 쓰는 편인데 이정도면 나쁘지 않어요 ㅎㅎ",5
15,아이패드,여러군데 찾아본 중에 제일 저렴해서 구매했습니다기기 정품 새제품 맞고 완전 포장되어 와서받자마자 너무 좋았어요지금 3개월째 사용중인데 제품 하자 없고정말 잘 쓰고있어요 감사합니다어버이날에 아빠 선물로 드렸고 기대이상이라 저도 하나 구매할까 고민중입니다,5
16,아이패드,현생이 너무 힘들어서 그냥 질러벌임...딱히 용도는 없고 그냥 갖고싶어서 사는거라 32기가 샀어요! 여기가 그나마 저렴하길래 샀는데 딱 사고나니까 금액이 올랐네요ㅎㅎ다행!!!!저렴하게 구매해서 좋구 물건도 안전하게 빨리 배송와서 더 좋았어요!! 펜슬은 안샀는데 아이패드 더 알차게 쓰려면 펜슬이 있어야 한다길래 조만간 펜슬도 여기서 사려구요! 너무 만족한 구매였습니당,5
17,아이패드,배송도 하루만에 왔구요~~~! 불량없이 깨끗하게 왔습니다ㅎㅎ 몇달전부터 사고싶어서 중고며 새상품이며 계속 찾았는데 싸게 잘 산것같아요 2019년 6월제품으로 왔고 친구는 같은제품으로 중고 30만원에 샀는데 9만원안되는돈 더주고 새거 사서 기분이 더 좋네여 ?,5
18,아이패드,"그냥 택배랑 스마트픽업 선택해서 주문할수 있게 바꿔요.스마트 픽업은 하고 싶은 사람만 하게 하던가 진짜!서울 시내에서 왕복 2시간 넘게 차밀려 가면서 물건 가지러 가는게 말이 됩니까?아침부터 어제 주문한거 스마트 픽업할 마포에 재고 없다고 주문취소 한다길래 인근 매장 재고도 없냐 물으니 없다고 취소하더만 바로 앱접속하니 강남 매장부터 노원,강북,동대문등 주문 가능 매장 여러곳.다시 재주문 넣고 픽업할 매장 재고있냐 직접전화 걸어 확인하니 있다고 해서 픽업하러 갔는데 주말 퇴근시간 겹쳐서 차밀리는 도로에서 진짜 아침부터 하루종일 개고생하고..아~~~",5
19,아이패드,생각보다 보급형이라길래 저렴한가격으로 삿고. 품질도 좋고 배송도빨랏습니다. 당일날 주문접수 택배접수이루어지고 바로 다담날도착햇어요. 포장상태도 좋고. 성능도 문제 없이 잘 왔습니다. 사은품으로 젤리케이스라도 하나 주시길 바래봤는데 그건아니엿고요 ㅋㅋ 암튼 다른사이트보다 저렴한가격에 사서 좋앗습니더. 중고카페에서 43만에 삿엇는데 기다렷다가 여기서 살걸그랫어요ㅠㅠ 번창하세요,5
20,아이패드,"진짜루 애플 코리아 정품이 왔습니다 220v가 들어있구요 밀봉새제품입니다 애플펜슬도 너무 잘되구 불량인 부분이 확인이 안되는거 보니 양품을 받은거 같아 행복합니다ㅎㅎ A10퓨전 칩셋이라 속도도 무지하게 빠르고 좋습니다 단일 미디어 실행시 프로랑 큰 차이도 못 느끼고 프로의 120Hz화면과 비교하면 물론 프로를 써보고 다시 보게되면 확 체감이 오지만 여타 안드로이드보다 좋은 최적화로 부드럽게 움직이기에 단연 최고라고 말할수있을 정도의 구동율입니다. 그리고 화질역시 fhd이상의 그래픽을 보여줌으로서 가성비가성비하는 테블릿보다 확실히 좋고 들고있으면 듬직합니다. 단점이라던 램 2기가인게 LPDDR이라 여타안드로이드테블릿 3기가 쯤 되는 속도랑 처리량을 보여줍니다 제가 찍은 단점이라고 할만한 것은 제가 가지고 있는 프로10.5랑 다르게 화면 라미네이션이 되어있지 않아 고릴라글래스3(아이패드5세대랑 동일재질)이라고 하는데 손톱으로 쳐보면 통통 소리가 플라스틱을 연상 시킨다던지 프로의 쿼드 스피커의 짱짱한 음질과 달리 한쪽에서만 나오는 그점이 너무 아쉬웠습니다 듀얼 스피커를 차라리 영쪽에 하나씩 달았어도 좋았을텐데 성능은 teclast t10s,zte trek2, 아이패드 프로 10.5(흐미 150넘게 썼네) 다 써본 결과 아이패드 프로>>>!!!>>>아이패드6세대>>>>>>테클라스트 t10s>zte trek2(솔직히 최적화 및 게임 구동율은 zte가 더 좋다) 말이 길어졌습니다 아마 아이패드를 구입하고자 하는 사람들은 유튜브나 블로그 네이버 다나와 등에서 가성비와 품질 이 사이를 왔다 갔다하며 제품을 신중히 고르고자 하는 분이 많을 겁니다 최저가 태블릿 중저가태블릿 중고가 태블릿 초고가 태블릿 종류별로 하나씩 체험하게 된 결과 단연코 하나 살거 제대로 사고자 한다면 전 아이패드 프로를 추천할 것이고 너무 지갑이 얇팍하다 하시면 차라리 어중간한 10만원 20만원 태블릿사서 as나 생각보다 떨어지는 발적화등등 문제로 후회하실바에 zte trek2같이 이거는 고장나면 버릴수 있을정도다 하는 제품을 구입하시고 품질도 보장되고 성능도 좋았음 한다 하시면 차라리 조금 더 아끼셨다가 아이패드 6세대같이 가성비 확실하고 as확실한 제품군을 구입하시는걸 추천합니다 갤럭시 탭s3도 사보고 싶었지만 발적화 문제도 있는 제품을 굳이 이 과도기적 시기에 구입하는게 맞을까 싶어 구매를 포기하고 아이패드 6세대를 샀지만 최고의 선택이라 생각합니다 그리고 어째서 아이패드 6세대에 라미네이션이라던지 스피커라던지 이런 문제가 제기되서 고민하게 만들지라고 생각하시는 분들은 잘 아셔야할것이 있습니다 그건 바로 프로10.5라는 초호화 초고가 초 고품질의 대물이 있기에 자연스레 비교를 당하는 것입니다 물론 아이패드 6세대는 완성품이 아닙니다 스피커도 시대에 맞게 다음세대는 쿼드는 프로때문에 안될테니 듀얼을 양옆으로 내줄수도 있는것이고 렘을 3기가로 늘려줄수도 있는것이고 반사방지코팅은 못해도 라미네이션처리는 해줄수도 있는것입니다. 자신의 용도 지갑사정 사고나서의 후회포인트 이런것을 최대한 고민해서 사시는걸 추천드릴게요 말이 길었지만 역시 아이패드 최고 존엄 태블릿 클라스!!! 근데 판매자님 아이패드 제품박스는 손상 안가게 나름 충격방지 비닐 잘 넣어놓으셨는데 택배박스에 테이프가 뜯어진 자국이라던지 칼로 운송장 부분 도려낸 자국이라던지 박스 재활용 인건 별로 좋은거 같지 않습니다 시정해주세요",5
